Тираж;Дата;Время;∑ чисел выпавших;∑ чисел не выпавших;μ число;⌓ Медиана;Повторения чисел;σ² Дисперсия;σ СКО;↑ Макс;↓ Мин;Четных;Нечетных;Кол-во простых;Кол-во составных;Кол-во низких;Кол-во высоких;Кол-во треугольных;Кол-во квадратных;Кол-во зеркальных
67;14.11.2025;18:01;51;1779;8,5;7,5;да;30,25;5,5;17;2;3;3;3;3;6;0;2;1;4
68;14.11.2025;21:01;43;1787;7,1667;7,5;да;14,4722;3,8042;13;2;3;3;4;2;6;0;2;0;4
69;15.11.2025;12:01;55;1775;9,1667;10;да;24,8056;4,9805;16;1;1;5;3;2;6;0;1;3;4
70;15.11.2025;15:01;42;1793;7;5;да;31;5,5678;19;2;2;4;5;1;6;0;0;1;5
71;15.11.2025;18:01;61;1769;10,1667;9;да;23,1389;4,8103;20;5;3;3;3;3;6;0;1;0;4
72;15.11.2025;21:01;49;1781;8,1667;8;да;33,8056;5,8143;16;1;3;3;3;2;6;0;1;2;4
73;16.11.2025;12:01;55;1775;9,1667;7;да;40,1389;6,3355;20;2;5;1;1;5;6;0;2;1;4
74;16.11.2025;15:01;81;1749;13,5;14,5;да;22,9167;4,7871;19;7;3;3;3;3;6;0;0;0;2
75;16.11.2025;18:01;58;1772;9,6667;10,5;да;21,2222;4,6068;17;3;2;4;4;2;6;0;2;0;3
76;16.11.2025;21:01;50;1780;8,3333;7;да;19,5556;4,4222;16;3;4;2;2;4;6;0;2;1;4
77;17.11.2025;12:01;70;1760;11,6667;11,5;да;10,8889;3,2998;16;6;4;2;1;5;6;0;3;1;2
78;17.11.2025;15:01;58;1772;9,6667;9;да;31,5556;5,6174;19;2;4;2;3;3;6;0;1;0;3
79;17.11.2025;18:01;39;1791;6,5;6,5;да;14,25;3,7749;12;1;3;3;2;3;6;0;4;1;4
80;17.11.2025;21:01;67;1763;11,1667;11,5;да;29,1389;5,398;19;2;3;3;3;3;6;0;2;0;2
81;18.11.2025;12:01;57;1776;9,5;7;нет;45,25;6,7268;20;3;1;5;4;2;6;0;2;1;4
82;18.11.2025;15:01;44;1787;7,3333;4,5;да;44,8889;6,6999;17;1;2;4;2;2;6;0;4;3;4
83;18.11.2025;18:01;73;1768;12,1667;12;нет;17,4722;4,18;19;5;1;5;5;1;6;0;0;0;3
84;18.11.2025;21:01;40;1790;6,6667;7;да;7,2222;2,6874;10;2;4;2;2;4;6;0;2;1;5
85;19.11.2025;12:01;64;1766;10,6667;12;нет;30,2222;5,4975;18;3;2;4;3;3;6;0;2;1;3
86;19.11.2025;15:01;61;1769;10,1667;11,5;да;18,4722;4,2979;16;4;3;3;3;3;6;0;0;2;3
87;19.11.2025;18:01;40;1792;6,6667;5;нет;28,2222;5,3125;17;2;2;4;5;1;6;0;1;1;5
88;19.11.2025;21:01;73;1757;12,1667;10,5;да;30,4722;5,5202;20;6;3;3;2;4;6;0;1;1;3
89;20.11.2025;12:01;38;1792;6,3333;6;да;19,8889;4,4597;12;1;2;4;3;2;6;0;2;2;5
90;20.11.2025;15:01;65;1765;10,8333;9;да;38,1389;6,1757;20;3;5;1;1;5;6;0;3;0;3
91;20.11.2025;18:01;69;1787;11,5;11;нет;21,9167;4,6815;17;4;1;5;3;3;6;0;0;3;3
92;20.11.2025;21:01;24;1807;4;3,5;да;8,6667;2,9439;9;1;2;4;2;2;6;0;3;3;6
93;21.11.2025;12:01;75;1755;12,5;12,5;нет;23,5833;4,8563;19;4;3;3;3;3;6;0;1;1;1
94;21.11.2025;15:01;64;1776;10,6667;11;да;25,8889;5,0881;18;1;4;2;1;4;6;0;3;1;1
95;21.11.2025;18:01;54;1776;9;8,5;да;31,3333;5,5976;20;2;4;2;2;4;6;0;1;1;4
96;21.11.2025;21:01;67;1772;11,1667;10;да;16,8056;4,0995;19;6;1;5;3;3;6;0;1;2;4
97;22.11.2025;12:01;58;1772;9,6667;9;да;33,8889;5,8214;17;3;2;4;4;2;6;0;1;2;3
98;22.11.2025;15:01;51;1784;8,5;7,5;да;16,9167;4,113;15;4;3;3;2;4;6;0;2;1;3
99;22.11.2025;18:01;63;1767;10,5;9;да;24,5833;4,9582;18;4;5;1;1;5;6;0;1;2;3
100;22.11.2025;21:01;58;1772;9,6667;7,5;да;33,2222;5,7639;18;3;2;4;4;2;6;0;1;0;4
101;23.11.2025;12:01;52;1778;8,6667;8,5;нет;24,5556;4,9554;15;2;4;2;2;4;6;0;2;1;4
102;23.11.2025;15:01;71;1759;11,8333;12,5;да;30,8056;5,5503;20;4;5;1;1;5;6;0;1;2;3
103;23.11.2025;18:01;81;1766;13,5;16;да;33,25;5,7663;20;3;1;5;3;3;6;0;2;1;2
104;23.11.2025;21:01;67;1776;11,1667;13;да;14,1389;3,7602;15;5;1;5;4;2;6;0;1;0;2
105;24.11.2025;12:01;62;1788;10,3333;10,5;да;36,2222;6,0185;17;4;4;2;2;4;6;0;0;4;3
106;24.11.2025;15:01;69;1761;11,5;14,5;да;42,9167;6,5511;18;1;3;3;1;4;6;0;2;2;2
107;24.11.2025;18:01;76;1754;12,6667;14;да;37,2222;6,101;19;1;4;2;1;4;6;0;2;2;1
108;24.11.2025;21:01;72;1758;12;12,5;да;35,6667;5,9722;20;4;4;2;2;4;6;0;0;1;2
109;25.11.2025;12:01;63;1778;10,5;11;нет;23,9167;4,8905;16;1;1;5;2;3;6;0;2;3;4
110;25.11.2025;15:01;60;1780;10;10;да;15,6667;3,9581;15;3;4;2;1;5;6;0;4;0;2
111;25.11.2025;18:01;70;1760;11,6667;10,5;да;21,2222;4,6068;19;5;2;4;3;3;6;0;1;2;3
112;25.11.2025;21:01;79;1751;13,1667;14,5;нет;27,8056;5,2731;18;2;3;3;3;3;6;0;1;0;1
113;26.11.2025;12:01;53;1777;8,8333;8,5;нет;29,1389;5,398;19;1;3;3;1;4;6;0;3;2;4
114;26.11.2025;15:01;73;1757;12,1667;12;да;12,8056;3,5785;17;7;1;5;4;2;6;0;0;2;3
115;26.11.2025;18:01;78;1770;13;15,5;да;38,6667;6,2183;19;2;4;2;3;3;6;0;0;0;2
116;26.11.2025;21:01;67;1778;11,1667;13;да;47,1389;6,8658;19;2;3;3;5;1;6;0;0;0;2
117;27.11.2025;12:01;85;1745;14,1667;15;да;22,4722;4,7405;20;6;3;3;3;3;6;0;1;0;2
118;27.11.2025;15:01;59;1771;9,8333;10,5;да;30,8056;5,5503;17;1;1;5;2;3;6;0;2;2;3
119;27.11.2025;18:01;76;1768;12,6667;14;да;19,2222;4,3843;18;5;4;2;1;5;6;0;0;2;2
120;27.11.2025;21:01;61;1769;10,1667;10,5;да;26,8056;5,1774;17;3;1;5;4;2;6;0;2;0;3
121;28.11.2025;12:01;71;1759;11,8333;12,5;да;34,8056;5,8996;19;1;1;5;3;2;6;0;1;2;3
122;28.11.2025;15:01;62;1768;10,3333;10,5;да;24,5556;4,9554;17;1;2;4;2;3;6;0;2;2;3
123;28.11.2025;18:01;54;1776;9;8;да;34,3333;5,8595;17;1;2;4;2;3;6;0;1;4;4
124;28.11.2025;21:01;65;1786;10,8333;11,5;нет;4,4722;2,1148;13;8;3;3;3;3;6;0;0;0;3
125;29.11.2025;12:01;59;1784;9,8333;10,5;да;16,4722;4,0586;15;4;3;3;2;4;6;0;2;1;3
126;29.11.2025;15:01;50;1780;8,3333;6;да;43,2222;6,5744;19;1;2;4;2;3;6;0;3;2;4
127;29.11.2025;18:01;51;1779;8,5;8;да;30,5833;5,5302;17;2;1;5;6;0;6;0;1;0;4
128;29.11.2025;21:01;83;1747;13,8333;15,5;да;23,1389;4,8103;19;6;3;3;2;4;6;0;1;1;2
129;30.11.2025;12:01;61;1780;10,1667;11;да;26,1389;5,1126;17;1;1;5;4;1;6;0;1;1;4
130;30.11.2025;15:01;63;1777;10,5;10;да;31,9167;5,6495;18;2;5;1;2;4;6;0;3;0;2
131;30.11.2025;18:01;46;1787;7,6667;8;да;15,2222;3,9016;14;3;2;4;3;3;6;0;3;1;4
132;30.11.2025;21:01;44;1790;7,3333;5;нет;28,5556;5,3437;16;1;4;2;1;4;6;0;2;4;4
133;01.12.2025;12:01;70;1760;11,6667;10,5;нет;27,2222;5,2175;19;5;2;4;4;2;6;0;1;0;3
134;01.12.2025;15:01;49;1782;8,1667;8;да;42,4722;6,5171;18;1;3;3;1;3;6;0;2;3;3
135;01.12.2025;18:01;49;1781;8,1667;5,5;да;37,1389;6,0942;17;1;3;3;2;3;6;0;2;3;4
136;01.12.2025;21:01;81;1749;13,5;15,5;да;37,5833;6,1305;20;4;3;3;3;3;6;0;0;1;2
137;02.12.2025;12:01;88;1742;14,6667;15,5;да;14,2222;3,7712;19;7;2;4;3;3;6;0;1;1;1
138;02.12.2025;15:01;57;1773;9,5;9;да;51,25;7,1589;19;1;1;5;5;0;6;0;1;1;3
139;02.12.2025;18:01;50;1780;8,3333;6;да;47,5556;6,8961;19;1;4;2;2;3;6;0;1;3;4
140;02.12.2025;21:01;69;1761;11,5;15;да;46,9167;6,8496;18;1;3;3;2;3;6;0;2;2;2
141;03.12.2025;12:01;65;1765;10,8333;11,5;да;17,1389;4,1399;16;3;3;3;2;4;6;0;1;2;3
142;03.12.2025;15:01;35;1795;5,8333;5;да;17,1389;4,1399;14;1;3;3;2;3;6;0;3;2;5
143;03.12.2025;18:01;81;1764;13,5;15;да;22,25;4,717;19;4;3;3;1;5;6;0;2;2;1
144;03.12.2025;21:01;88;1758;14,6667;16;да;17,2222;4,15;19;6;4;2;2;4;6;0;1;2;1
145;04.12.2025;12:01;65;1765;10,8333;11,5;да;39,1389;6,2561;19;2;3;3;4;2;6;0;1;1;2
146;04.12.2025;15:01;42;1788;7;5,5;да;23,3333;4,8305;16;2;4;2;3;3;6;0;2;2;4
147;04.12.2025;18:01;48;1795;8;9,5;да;21;4,5826;14;2;4;2;4;2;6;0;0;0;5
148;04.12.2025;21:01;77;1753;12,8333;14;да;27,8056;5,2731;18;2;3;3;3;3;6;0;1;0;1
149;05.12.2025;12:01;65;1765;10,8333;9;да;33,8056;5,8143;19;4;3;3;3;3;6;0;1;1;4
150;05.12.2025;15:01;66;1764;11;12;нет;31,6667;5,6273;17;1;2;4;1;4;6;0;2;3;3
151;05.12.2025;18:01;58;1772;9,6667;10;да;27,2222;5,2175;18;2;2;4;4;2;6;0;0;1;4
152;05.12.2025;21:01;63;1767;10,5;9,5;да;42,25;6,5;19;1;3;3;2;3;6;0;2;1;3
153;06.12.2025;12:01;57;1773;9,5;8,5;да;40,25;6,3443;18;2;3;3;4;2;6;0;2;0;4
154;06.12.2025;15:01;49;1781;8,1667;9;да;29,1389;5,398;16;1;3;3;3;2;6;0;1;2;4
155;06.12.2025;18:01;72;1771;12;13;да;24;4,899;17;2;2;4;5;1;6;0;0;1;2
156;06.12.2025;21:01;70;1776;11,6667;13,5;да;21,5556;4,6428;16;4;4;2;1;5;6;0;1;3;2
157;07.12.2025;12:01;88;1742;14,6667;15,5;да;14,2222;3,7712;19;7;2;4;3;3;6;0;1;1;1
158;07.12.2025;15:01;67;1763;11,1667;13;да;38,4722;6,2026;18;2;3;3;3;3;6;0;1;1;3
159;07.12.2025;18:01;55;1775;9,1667;9;да;15,8056;3,9756;15;4;3;3;2;4;6;0;2;1;3
160;07.12.2025;21:01;73;1770;12,1667;13;да;11,8056;3,4359;16;5;3;3;3;3;6;0;0;1;1
161;08.12.2025;12:01;72;1758;12;14;да;46,6667;6,8313;20;2;6;0;1;5;6;0;0;2;2
162;08.12.2025;15:01;88;1762;14,6667;16,5;да;41,8889;6,4722;20;1;4;2;1;4;6;0;1;2;1
163;08.12.2025;18:01;76;1772;12,6667;14;нет;25,5556;5,0553;18;5;2;4;3;3;6;0;1;0;2
164;08.12.2025;21:01;42;1788;7;6;да;12,3333;3,5119;13;3;2;4;4;2;6;0;2;1;4
165;09.12.2025;12:01;53;1777;8,8333;7,5;да;34,4722;5,8713;19;2;3;3;4;2;6;0;1;1;3
166;09.12.2025;15:01;52;1778;8,6667;7,5;да;32,2222;5,6765;17;2;2;4;3;3;6;0;3;1;4
167;09.12.2025;18:01;65;1765;10,8333;11,5;нет;16,1389;4,0173;16;4;5;1;1;5;6;0;1;2;2
168;09.12.2025;21:01;62;1768;10,3333;11;да;31,5556;5,6174;17;3;4;2;2;4;6;0;1;2;3
169;10.12.2025;12:01;40;1790;6,6667;7;да;11,8889;3,448;11;1;4;2;1;4;6;0;3;2;5
170;10.12.2025;15:01;97;1772;16,1667;19;да;32,4722;5,6984;20;4;3;3;2;4;6;0;1;1;1
171;10.12.2025;18:01;89;1755;14,8333;15,5;да;24,4722;4,9469;20;5;3;3;3;3;6;0;0;0;1
172;10.12.2025;21:01;69;1762;11,5;14;да;61,5833;7,8475;20;1;3;3;1;3;6;0;2;3;2
173;11.12.2025;12:01;58;1774;9,6667;7,5;да;54,2222;7,3636;20;2;4;2;3;3;6;0;1;1;4
174;11.12.2025;15:01;82;1763;13,6667;15;нет;15,8889;3,9861;17;5;2;4;2;4;6;0;2;1;1
175;11.12.2025;18:01;43;1804;7,1667;6,5;да;15,8056;3,9756;12;1;3;3;2;3;6;0;1;1;4
176;11.12.2025;21:01;56;1774;9,3333;9;да;28,8889;5,3748;19;1;2;4;3;2;6;0;2;1;4
177;12.12.2025;12:01;40;1790;6,6667;5;да;22,5556;4,7493;14;1;4;2;1;4;6;0;3;2;4
178;12.12.2025;15:01;46;1790;7,6667;6;да;28,2222;5,3125;17;1;4;2;1;4;6;0;3;2;4
179;12.12.2025;18:01;50;1788;8,3333;8;да;6,2222;2,4944;12;5;4;2;2;4;6;0;1;0;5
180;12.12.2025;21:01;43;1787;7,1667;4,5;да;28,4722;5,3359;16;2;3;3;4;2;6;0;1;2;4
181;13.12.2025;12:01;61;1769;10,1667;10,5;да;45,1389;6,7185;19;2;3;3;3;3;6;0;3;1;3
182;13.12.2025;15:01;56;1782;9,3333;8;да;18,5556;4,3076;18;5;4;2;2;4;6;0;1;0;5
183;13.12.2025;18:01;51;1779;8,5;8,5;да;29,5833;5,4391;16;1;3;3;2;3;6;0;1;3;3
184;13.12.2025;21:01;44;1786;7,3333;7,5;да;18,2222;4,2687;13;1;2;4;3;2;6;0;2;2;4
185;14.12.2025;12:01;49;1781;8,1667;9;да;28,1389;5,3046;15;1;1;5;4;1;6;0;2;1;4
186;14.12.2025;15:01;61;1769;10,1667;10;да;47,1389;6,8658;19;1;3;3;2;3;6;0;2;1;3
187;14.12.2025;18:01;74;1756;12,3333;15,5;да;58,5556;7,6522;20;1;2;4;3;2;6;0;2;1;2
188;14.12.2025;21:01;75;1755;12,5;12;да;28,5833;5,3463;20;5;5;1;1;5;6;0;1;0;2
189;15.12.2025;12:01;75;1769;12,5;14;да;33,5833;5,7951;20;1;3;3;1;4;6;0;2;1;2
190;15.12.2025;15:01;80;1750;13,3333;13,5;да;18,5556;4,3076;20;6;4;2;2;4;6;0;1;1;2
191;15.12.2025;18:01;77;1753;12,8333;15;да;45,1389;6,7185;20;2;3;3;4;2;6;0;1;0;2
192;15.12.2025;21:01;61;1773;10,1667;9;да;34,1389;5,8429;18;4;5;1;1;5;6;0;1;2;3
193;16.12.2025;12:01;68;1762;11,3333;13,5;да;50,2222;7,0868;19;1;2;4;3;2;6;0;2;2;3
194;16.12.2025;15:01;58;1792;9,6667;9,5;нет;16,2222;4,0277;14;5;4;2;2;4;6;0;2;0;3
195;16.12.2025;18:01;67;1768;11,1667;10;да;34,8056;5,8996;20;5;1;5;5;1;6;0;0;0;3
196;16.12.2025;21:01;60;1770;10;9,5;да;32,3333;5,6862;18;2;4;2;3;3;6;0;0;1;4
197;17.12.2025;12:01;77;1753;12,8333;14;да;31,8056;5,6396;20;3;3;3;2;4;6;0;1;2;2
198;17.12.2025;15:01;52;1780;8,6667;6,5;да;43,8889;6,6249;19;2;4;2;4;2;6;0;0;1;4
199;17.12.2025;18:01;73;1757;12,1667;12;да;43,8056;6,6186;20;4;3;3;3;3;6;0;1;1;3
200;17.12.2025;21:01;64;1766;10,6667;9,5;да;35,5556;5,9629;19;1;2;4;2;3;6;0;2;2;3
201;18.12.2025;12:01;80;1750;13,3333;15;да;43,8889;6,6249;20;1;4;2;1;4;6;0;2;1;1
202;18.12.2025;15:01;53;1795;8,8333;6,5;да;45,8056;6,768;18;1;3;3;2;3;6;0;3;1;4
203;18.12.2025;18:01;71;1776;11,8333;12;нет;20,8056;4,5613;17;4;1;5;4;2;6;0;0;2;3
204;18.12.2025;21:01;58;1772;9,6667;9,5;да;31,5556;5,6174;18;2;4;2;1;5;6;0;2;2;3
205;19.12.2025;12:01;70;1760;11,6667;12,5;да;27,8889;5,281;18;1;2;4;2;3;6;0;2;1;2
206;19.12.2025;15:01;70;1779;11,6667;11,5;да;41,2222;6,4205;19;1;2;4;2;3;6;0;1;2;3
207;19.12.2025;18:01;62;1768;10,3333;11;да;44,5556;6,675;19;1;2;4;2;3;6;0;2;3;3
208;19.12.2025;21:01;57;1786;9,5;11;да;21,25;4,6098;15;3;1;5;3;3;6;0;2;2;3
209;20.12.2025;12:01;57;1773;9,5;9;да;36,9167;6,0759;18;2;3;3;4;2;6;0;1;1;4
210;20.12.2025;15:01;65;1765;10,8333;12,5;да;46,4722;6,8171;20;1;3;3;2;3;6;0;2;2;3
211;20.12.2025;18:01;78;1768;13;15,5;да;24;4,899;18;4;4;2;0;6;6;0;1;4;2
212;20.12.2025;21:01;50;1780;8,3333;8,5;да;28,2222;5,3125;18;1;4;2;0;5;6;0;2;3;4
213;21.12.2025;12:01;73;1757;12,1667;13;да;21,1389;4,5977;19;5;3;3;2;4;6;0;1;0;2
214;21.12.2025;15:01;87;1762;14,5;16,5;да;23,5833;4,8563;19;6;3;3;3;3;6;0;2;1;1
215;21.12.2025;18:01;68;1775;11,3333;11,5;да;16,2222;4,0277;18;5;2;4;3;3;6;0;1;1;2
216;21.12.2025;21:01;73;1757;12,1667;11;да;21,4722;4,6338;20;6;5;1;0;6;6;0;2;2;2
217;22.12.2025;12:01;74;1774;12,3333;10,5;да;16,8889;4,1096;18;8;4;2;1;5;6;0;1;1;3
218;22.12.2025;15:01;79;1765;13,1667;14;да;13,4722;3,6704;18;6;5;1;0;6;6;0;2;0;1
219;22.12.2025;18:01;95;1735;15,8333;15,5;да;4,4722;2,1148;19;13;3;3;2;4;6;0;1;1;0
220;22.12.2025;21:01;77;1753;12,8333;13;да;28,4722;5,3359;20;3;3;3;3;3;6;0;1;0;2
221;23.12.2025;12:01;46;1785;7,6667;3;да;65,5556;8,0966;20;1;4;2;1;3;6;0;2;3;4
222;23.12.2025;15:01;68;1779;11,3333;12,5;нет;28,2222;5,3125;17;3;2;4;4;2;6;0;2;0;3
223;23.12.2025;18:01;63;1767;10,5;12,5;нет;36,25;6,0208;18;1;3;3;1;4;6;0;2;2;2
224;23.12.2025;21:01;58;1782;9,6667;10;да;35,5556;5,9629;19;1;4;2;1;4;6;0;3;2;2
225;24.12.2025;12:01;45;1785;7,5;6;да;37,9167;6,1577;20;1;1;5;3;2;6;0;2;2;5
226;24.12.2025;15:01;50;1792;8,3333;10;да;27,5556;5,2493;15;1;4;2;1;4;6;0;2;1;3
227;24.12.2025;18:01;62;1775;10,3333;8,5;нет;29,8889;5,4671;18;3;2;4;4;2;6;0;2;0;3
228;24.12.2025;21:01;76;1780;12,6667;12;да;17,2222;4,15;18;8;4;2;2;4;6;0;0;0;3
229;25.12.2025;12:01;53;1777;8,8333;9,5;да;19,1389;4,3748;15;2;3;3;3;3;6;0;1;0;4
230;25.12.2025;15:01;62;1768;10,3333;12;да;27,2222;5,2175;17;2;2;4;5;1;6;0;0;0;3
